 -180.00000000 -118.99155758 
 -165.00000000 -118.99088404 
 -150.00000000 -118.98920342 
 -135.00000000 -118.98742741 
 -120.00000000 -118.98664049 
 -105.00000000 -118.98736535 
 -90.00000000 -118.98914027 
 -75.00000000 -118.99085467 
 -60.00000000 -118.99156414 
 -45.00000000 -118.99089879 
 -30.00000000 -118.98920912 
 -15.00000000 -118.98741123 
   0.00000000 -118.98663730 
  15.00000000 -118.98741272 
  30.00000000 -118.98920222 
  45.00000000 -118.99090278 
  60.00000000 -118.99156663 
  75.00000000 -118.99085654 
  90.00000000 -118.98914716 
 105.00000000 -118.98737038 
 120.00000000 -118.98663578 
 135.00000000 -118.98742144 
 150.00000000 -118.98919569 
 165.00000000 -118.99088786 
